steamid,gameID,playtime
76561198035639224,240,497
76561198035639224,4000,7421
76561198035639224,4700,817
76561198035639224,20900,0
76561198035639224,10180,2244
76561198035639224,550,451
76561198035639224,10500,3662
76561198035639224,24960,310
76561198035639224,8190,4
76561198035639224,3900,0
76561198035639224,3990,0
76561198035639224,8800,0
76561198035639224,16810,1
76561198035639224,33930,1082
76561198035639224,34030,6012
76561198035639224,8930,60739
76561198035639224,620,451
76561198035639224,25800,10831
76561198035639224,105600,50122
76561198035639224,20920,0
76561198035639224,9350,0
76561198035639224,9420,1
76561198035639224,25890,5301
76561198035639224,203770,60473
76561198035639224,42960,18418
76561198035639224,42980,5
76561198035639224,730,22431
76561198035639224,230410,1155
76561198035639224,265630,293
76561198035639224,227760,303
76561198035639224,48240,518
76561198035639224,72850,4922
76561198035639224,214950,7162
76561198035639224,35720,0
76561198035639224,236850,87835
76561198035639224,218620,356
76561198035639224,239820,1203
76561198035639224,107410,1455
76561198035639224,221100,5567
76561198035639224,268850,120
76561198035639224,271590,24829
76561198035639224,222880,1714
76561198035639224,286160,763
76561198035639224,291550,218
76561198035639224,222900,0
76561198035639224,245620,4189
76561198035639224,35450,1
76561198035639224,333930,1001
76561198035639224,255710,3128
76561198035639224,365720,0
76561198035639224,386360,2587
76561198035639224,65980,6002
76561198035639224,13540,0
76561198035639224,359550,1926
76561198035639224,427730,32
76561198035639224,281990,36465
76561198035639224,394360,21789
76561198035639224,289070,27521
76561198035639224,292030,300
76561198035639224,306130,1320
76561198035639224,489830,16062
76561198035639224,550650,194
76561198035639224,578080,4378
76561198035639224,386180,178
76561198035639224,765410,29
76561198035639224,611500,0
76561198035639224,304390,0
76561198035639224,945360,400
76561198035639224,231430,0
76561198035639224,1085660,31
76561198035639224,797410,22
76561198035639224,1281930,0
76561198035639224,1158310,7918
76561198035639224,34270,39
76561198152081889,3920,4
76561198152081889,4000,2590
76561198152081889,220,37
76561198152081889,320,0
76561198152081889,340,0
76561198152081889,360,0
76561198152081889,380,0
76561198152081889,400,86
76561198152081889,420,0
76561198152081889,7940,120
76561198152081889,500,137
76561198152081889,10090,806
76561198152081889,24840,392
76561198152081889,10180,1843
76561198152081889,550,90
76561198152081889,24960,28
76561198152081889,55100,0
76561198152081889,620,235
76561198152081889,16450,1
76561198152081889,21090,0
76561198152081889,21100,0
76561198152081889,105450,375
76561198152081889,22380,314
76561198152081889,108710,22
76561198152081889,202750,0
76561198152081889,113200,1
76561198152081889,17300,45
76561198152081889,17330,0
76561198152081889,108800,75
76561198152081889,17460,88
76561198152081889,24980,0
76561198152081889,225640,39
76561198152081889,230410,0
76561198152081889,238960,658
76561198152081889,243870,0
76561198152081889,250760,352
76561198152081889,252950,23721
76561198152081889,49520,1526
76561198152081889,222880,1
76561198152081889,286160,327
76561198152081889,286690,511
76561198152081889,287390,1
76561198152081889,304050,0
76561198152081889,291480,0
76561198152081889,227940,13
76561198152081889,247080,384
76561198152081889,241930,177
76561198152081889,261640,432
76561198152081889,730,3648
76561198152081889,250900,1370
76561198152081889,242680,32
76561198152081889,346900,32
76561198152081889,201810,140
76561198152081889,350080,0
76561198152081889,363970,1006
76561198152081889,6000,27
76561198152081889,6020,361
76561198152081889,6030,13
76561198152081889,6060,130
76561198152081889,32350,9
76561198152081889,32370,28
76561198152081889,32380,1
76561198152081889,32390,0
76561198152081889,32400,0
76561198152081889,32420,1
76561198152081889,32430,5
76561198152081889,32470,1
76561198152081889,32500,52
76561198152081889,208580,560
76561198152081889,386360,539
76561198152081889,391540,603
76561198152081889,431240,976
76561198152081889,391220,40
76561198152081889,444090,19215
76561198152081889,489830,419
76561198152081889,7670,0
76561198152081889,8850,0
76561198152081889,8870,0
76561198152081889,409710,0
76561198152081889,409720,0
76561198152081889,550650,94
76561198152081889,571740,86
76561198152081889,578080,1961
76561198152081889,674940,38
76561198152081889,813820,25
76561198152081889,845070,0
76561198152081889,611500,23
76561198152081889,945360,382
76561198152081889,231430,0
76561198152081889,278360,13
76561198152081889,1058020,17
76561198152081889,1085660,44
76561198152081889,976730,1532
76561198152081889,582660,0
76561198152081889,797410,26
76561198152081889,442070,0
76561198152081889,203160,0
76561198152081889,1286830,250
76561198152081889,532210,0
