name,appid,categories,genres,metacritic
天降锦鲤 ~ My Lucky Koi,1184420,['Single-player'],"['Adventure', 'Casual', 'Indie', 'RPG']",'metacritic'
Magic of Autumn,1184450,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']","['Adventure', 'Indie', 'RPG']",'metacritic'
Race! Make 'm finish...,1184460,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']","['Action', 'Casual', 'Indie', 'Racing', 'Early Access']",'metacritic'
ASTROPUPPA,1184470,['Single-player'],"['Action', 'Casual', 'Indie']",'metacritic'
Inertial Drift,1184480,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Full controller support', 'Remote Play Together']","['Indie', 'Racing']","{'score': 89, 'url': 'https://www.metacritic.com/game/pc/inertial-drift?ftag=MCD-06-10aaa1f'}"
Aurora - Cores Ocultas,1184530,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together']","['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy', 'Early Access']",'metacritic'
TERMINAL,1184550,['Single-player'],"['Action', 'Indie', 'Early Access']",'metacritic'
Last Neighbor,1184570,['Single-player'],"['Action', 'Casual', 'Indie']",'metacritic'
CubeHub,1184590,['Single-player'],"['Action', 'Casual', 'Indie']",'metacritic'
The Sentinel,1184600,"['Single-player', 'Steam Achievements']","['Action', 'Adventure', 'Indie']",'metacritic'
Hide and Secret: The Lost World,1184640,['Single-player'],"['Adventure', 'Casual', 'Indie']",'metacritic'
Crocs Hunter,1184680,['Single-player'],"['Adventure', 'Casual', 'Indie']",'metacritic'
Whispered Secrets: Dreadful Beauty Collector's Edition,1184700,['Single-player'],"['Adventure', 'Casual']",'metacritic'
Cosmo story,1184710,['Single-player'],"['Action', 'Adventure', 'Casual', 'Indie']",'metacritic'
Later,1184720,['Single-player'],"['Adventure', 'Indie']",'metacritic'
Skeleton vs zombies,1184750,"['Single-player', 'Full controller support']","['Action', 'Adventure', 'Casual', 'Indie']",'metacritic'
The Political Process,1184770,"['Single-player', 'Steam Cloud']","['Indie', 'Simulation', 'Strategy', 'Early Access']",'metacritic'
BOTS,1184780,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support']","['Action', 'Casual', 'Indie']",'metacritic'
SCP: Fragmented Minds,1184790,['Single-player'],"['Action', 'Indie']",'metacritic'
Mainframe Defenders,1184810,['Single-player'],['Strategy'],'metacritic'
Poker Quest,1184820,"['Single-player', 'Stats']","['Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",'metacritic'
Chaos Galaxy,1184840,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Indie', 'Strategy']",'metacritic'
Puzzle Girls,1184880,['Single-player'],['Casual'],'metacritic'
Escape from the Lostmoon,1183980,['Single-player'],"['Action', 'Adventure', 'Indie']",'metacritic'
Monster's Mall,1184010,['Single-player'],"['Casual', 'Indie', 'Simulation', 'Early Access']",'metacritic'
D1896,1184040,"['Single-player', 'Partial Controller Support']","['Action', 'Adventure', 'Indie']",'metacritic'
Overrun,1184070,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats']","['Action', 'Casual', 'Indie']",'metacritic'
Belly Dance Girl,1184090,['Single-player'],"['Action', 'Casual', 'Indie', 'Simulation', 'Early Access']",'metacritic'
刀锋突袭,1184110,['Single-player'],['Casual'],'metacritic'
KartRider: Drift,1184140,"['Multi-player', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Partial Controller Support']","['Free to Play', 'Racing']",'metacritic'
Crazy Simulator,1184160,"['Single-player', 'Steam Achievements']","['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']",'metacritic'
Knockout Bowling vr,1184190,['Single-player'],"['Casual', 'Indie', 'Sports']",'metacritic'
Cross Border VR,1184230,['Single-player'],"['Adventure', 'Indie', 'RPG', 'Simulation']",'metacritic'
Finnish Army Simulator,1184250,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud', 'Stats']","['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Sports']",'metacritic'
Warchasm,1184260,"['Single-player', 'Steam Achievements']","['Action', 'Casual', 'Indie']",'metacritic'
Slippery Sausage,1184310,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']","['Action', 'Casual', 'Indie']",'metacritic'
FIT Food,1184320,"['Single-player', 'Multi-player', 'PvP', 'Online PvP']","['Casual', 'Free to Play']",'metacritic'
探险与魔法,1184330,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'In-App Purchases']","['Adventure', 'Casual', 'Free to Play', 'Indie', 'RPG', 'Strategy']",'metacritic'
Heavy load,1184360,"['Single-player', 'Steam Achievements']","['Action', 'Indie']",'metacritic'
魅魔新妻 Succubus Waifu,1184400,"['Single-player', 'Steam Achievements', 'Steam Cloud']",['Indie'],'metacritic'
you are pig sitter,1183410,"['Single-player', 'Partial Controller Support']","['Indie', 'Simulation']",'metacritic'
Monochrome World,1183420,"['Single-player', 'Steam Achievements', 'Partial Controller Support']","['Action', 'Casual', 'Indie']",'metacritic'
Prometheus,1179660,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Captions available', 'In-App Purchases', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Steam Turn Notifications', 'Remote Play Together']","['Action', 'Adventure', 'Indie', 'Simulation']",'metacritic'
Wurm Online,1179680,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases']","['Adventure', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']",'metacritic'
UFO穿越 UFO Cross,1179690,['Single-player'],"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",'metacritic'
Metrail,1179750,['Single-player'],['Indie'],'metacritic'
DeedPlanner,1179760,'categories',"['Design & Illustration', 'Utilities', 'Early Access']",'metacritic'
Heroes Of Maidan 3,1179790,"['Single-player', 'Steam Achievements']","['Action', 'Adventure', 'Indie']",'metacritic'
Oppaidius Tropical Cruise!,1179100,"['Single-player', 'Steam Achievements']","['Adventure', 'Casual', 'Free to Play', 'Indie', 'Simulation']",'metacritic'
Chrono's Arena,1179110,"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'In-App Purchases']","['Action', 'Free to Play', 'Indie', 'RPG', 'Early Access']",'metacritic'
Romguns,1179150,"['Single-player', 'Steam Achievements']","['Action', 'Indie']",'metacritic'
Super Angling,1179170,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","['Adventure', 'Casual', 'Indie']",'metacritic'
Dinodrifters,1179190,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']",'metacritic'
Kill It With Fire,1179210,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Action', 'Casual', 'Indie', 'Simulation']","{'score': 69, 'url': 'https://www.metacritic.com/game/pc/kill-it-with-fire?ftag=MCD-06-10aaa1f'}"
Gaijin Troubles,1179220,"['Single-player', 'Partial Controller Support']","['Action', 'Indie', 'Early Access']",'metacritic'
PROJECT D,1179280,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Partial Controller Support']","['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']",'metacritic'
Quicken WillMaker & Trust 2020,1179300,'categories',['Accounting'],'metacritic'
Drift Alone,1179310,"['Single-player', 'Partial Controller Support']","['Indie', 'Racing', 'Simulation']",'metacritic'
Kōmori Fruit Rush,1179340,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']","['Action', 'Casual', 'Indie']",'metacritic'
怪奇幻想夢物語 怪獣綺譚 誘宵地獄,1179350,['Single-player'],"['Adventure', 'Casual', 'Indie']",'metacritic'
Victorian Admirals Caroline Crisis 1885,1179390,['Single-player'],"['Simulation', 'Strategy']",'metacritic'
Basic Car Repair Garage VR,1179400,['Single-player'],"['Casual', 'Free to Play', 'Simulation', 'Early Access']",'metacritic'
Lootcraft,1179410,['Single-player'],"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",'metacritic'
Brunswick Pro Billiards,1179420,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']","['Simulation', 'Sports']",'metacritic'
Laser Z,1179430,['Single-player'],"['Action', 'Casual', 'Indie', 'Early Access']",'metacritic'
Disaster Dragon x Girls from Different Worlds,1179440,['Single-player'],"['RPG', 'Strategy']",'metacritic'
HAM-MASTER,1179460,"['Single-player', 'Full controller support']","['Action', 'Adventure', 'Casual', 'Indie']",'metacritic'
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1178790,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",['RPG'],'metacritic'
Bright Memory: Infinite,1178830,"['Single-player', 'Partial Controller Support']","['Action', 'Indie']",'metacritic'
Taro: a fluffy visual novel,1178890,"['Single-player', 'Steam Achievements']","['Adventure', 'Indie']",'metacritic'
Rollers,1179010,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']","['Action', 'Casual', 'Free to Play', 'Simulation', 'Strategy']",'metacritic'
Red Frost,1179020,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']","['Action', 'Adventure', 'RPG', 'Simulation']",'metacritic'
有翼のフロイライン Wing of Darkness,1179060,"['Single-player', 'Full controller support']","['Action', 'Indie']",'metacritic'
FAITH,1179080,"['Single-player', 'Steam Achievements', 'Full controller support']","['Adventure', 'Indie']",'metacritic'
Mannerheim Virtual Experience,1179090,'categories',['Education'],'metacritic'
MyStar,1175690,"['Single-player', 'Full controller support']","['Action', 'Casual', 'Free to Play']",'metacritic'
Gerritory,1175720,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play Together']","['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Strategy']",'metacritic'
TopplePOP: Bungee Blockbusters,1175770,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Full controller support', 'Remote Play on TV', 'Remote Play Together']","['Action', 'Casual', 'Indie', 'Racing', 'Sports']",'metacritic'
Command & Control 3,1175800,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Full controller support']","['Indie', 'Strategy']",'metacritic'
Whateverland,1175840,"['Single-player', 'Steam Achievements', 'Partial Controller Support']","['Adventure', 'Casual', 'Indie']",'metacritic'
Blank,1174920,"['Single-player', 'Partial Controller Support']","['Adventure', 'Free to Play', 'Indie']",'metacritic'
Empty Sharp,1174970,['Single-player'],"['Adventure', 'Indie']",'metacritic'
Mazetools Mutant,1174980,['Remote Play Together'],"['Audio Production', 'Design & Illustration', 'Utilities']",'metacritic'
Sushi Pachi Panic,1174990,['Single-player'],"['Casual', 'Indie']",'metacritic'
Plunkocity,1175030,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']","['Casual', 'Indie']",'metacritic'
Human Simulator,1175060,"['Single-player', 'Steam Achievements']","['Casual', 'Indie', 'Simulation']",'metacritic'
Survived,1175070,['Single-player'],"['Action', 'Adventure', 'Indie', 'Strategy']",'metacritic'
Easy Bug Manager,1175080,'categories',"['Utilities', 'Game Development']",'metacritic'
单词训练营 | Word Training Camp,1175100,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Action', 'Casual', 'Simulation', 'Sports']",'metacritic'
STARS ERA:LOST STARS,1175120,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Casual', 'Indie', 'RPG']",'metacritic'
Vecter,1175140,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Stats', 'Remote Play Together']","['Action', 'Casual', 'Free to Play', 'Indie', 'Racing']",'metacritic'
Incredible Dracula: Vargosi Returns,1175150,"['Single-player', 'Steam Cloud']","['Adventure', 'Casual', 'Indie']",'metacritic'
House of 1000 Doors: The Palm of Zoroaster,1175160,"['Single-player', 'Steam Cloud']","['Adventure', 'Casual', 'Indie']",'metacritic'
Incredible Dracula: The Ice Kingdom,1175170,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Adventure', 'Casual', 'Indie']",'metacritic'
妈妈，别走,1175180,"['Single-player', 'Steam Cloud']","['Casual', 'Indie', 'RPG']",'metacritic'
Natsuki Chronicles,1175190,"['Steam Achievements', 'Partial Controller Support']",['Action'],'metacritic'
Forbidden Ingress,1175200,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Leaderboards']","['Action', 'Adventure', 'Indie', 'Massively Multiplayer']",'metacritic'
出门,1175240,['Single-player'],['Indie'],'metacritic'
Finders Reapers,1175250,"['Single-player', 'Full controller support', 'Steam Cloud', 'Remote Play on TV']","['Action', 'Indie', 'Strategy', 'Early Access']",'metacritic'
黑暗之岛,1175320,"['Single-player', 'Steam Cloud']","['Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",'metacritic'
Troll Control,1175330,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen']","['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",'metacritic'
Johan: The Archer & The Witch,1175350,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']","['Action', 'Indie', 'RPG']",'metacritic'
"I, Dracula: Genesis",1175360,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Action', 'Indie', 'Early Access']",'metacritic'
Peer Gynt the Game,1175370,['Single-player'],['Adventure'],'metacritic'
Ultimate Live Wallpaper,1175390,"['Steam Workshop', 'Steam Cloud', 'Includes level editor']","['Animation & Modeling', 'Design & Illustration', 'Utilities', 'Early Access']",'metacritic'
GDT2: After WW3,1174620,['Single-player'],"['Action', 'Indie']",'metacritic'
Arcadia Fallen,1174640,['Single-player'],"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",'metacritic'
Nordic Warriors,1174670,['Single-player'],"['Action', 'Adventure', 'Indie', 'Strategy']",'metacritic'
Ashland Dossier,1174680,"['Single-player', 'Steam Achievements', 'Partial Controller Support']","['Adventure', 'Indie', 'Simulation']",'metacritic'
Love Wish 2,1174690,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Casual', 'RPG']",'metacritic'
SwarmZ,1174720,['Single-player'],"['Action', 'Indie', 'Simulation', 'Strategy']",'metacritic'
MONEY LOVES SILENCE,1174780,"['Single-player', 'Steam Cloud']","['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']",'metacritic'
Curse of the dungeon,1174810,['Single-player'],"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",'metacritic'
Tower Of Heresy,1174820,['Single-player'],"['Action', 'Adventure', 'Indie', 'RPG']",'metacritic'
The Magician's Workshop,1174830,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Adventure', 'Casual', 'Indie', 'RPG']",'metacritic'
Путь Пацана,1174850,['Single-player'],"['Action', 'Adventure', 'Casual', 'Indie']",'metacritic'
Tacview,1174860,'categories',"['Software Training', 'Utilities']",'metacritic'
Roark Games: Congressman,1174870,['Single-player'],"['Indie', 'Simulation', 'Strategy']",'metacritic'
"No Offence, But",1174890,['Single-player'],"['Indie', 'Strategy', 'Early Access']",'metacritic'
MiMiMiShKa,1174900,"['Single-player', 'Steam Achievements']","['Casual', 'Indie']",'metacritic'
Space Road,1174120,"['Single-player', 'Partial Controller Support']","['Casual', 'Indie']",'metacritic'
Earthshine,1174170,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']","['Adventure', 'Casual', 'Indie']",'metacritic'
Lands of Pharaoh: Episode 1,1174200,['Single-player'],"['Action', 'Adventure', 'Indie', 'Strategy']",'metacritic'
Elementals,1174230,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Full controller support']","['Action', 'Adventure', 'Indie']",'metacritic'
The Lost Cave of the Ozarks,1174260,"['Single-player', 'Full controller support', 'Captions available', 'Remote Play on TV']",['Indie'],'metacritic'
IKO 39,1174270,['Single-player'],"['Action', 'Adventure', 'Indie']",'metacritic'
Cybermonk,1174280,"['Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Full controller support', 'Remote Play Together']",['Indie'],'metacritic'
Shiki,1174300,['Single-player'],"['Adventure', 'Free to Play', 'Indie']",'metacritic'
Travel Mosaics 10: Spooky Halloween,1174320,"['Single-player', 'Steam Achievements']","['Adventure', 'Strategy']",'metacritic'
ANNIE:Last Hope,1174390,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","['Action', 'Adventure', 'Indie', 'RPG']",'metacritic'
Togainu no Chi ~Lost Blood~,1174400,"['Single-player', 'Steam Achievements']",['Adventure'],'metacritic'
Libertad o Muerte!,1174420,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Remote Play Together']","['Indie', 'Simulation', 'Strategy']",'metacritic'
Space Shapes,1174430,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play Together']",['Action'],'metacritic'
A Zone,1174440,"['Single-player', 'Steam Achievements', 'Steam Leaderboards']","['Casual', 'Indie', 'Simulation', 'Strategy']",'metacritic'
The Bad the Worse & Djanky,1174450,"['Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Full controller support', 'Remote Play Together']","['Action', 'Casual', 'Free to Play', 'Indie']",'metacritic'
Poker Club,1174460,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']","['Casual', 'Indie', 'Simulation', 'Sports', 'Strategy']",'metacritic'
Space Carrot,1174490,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","['Action', 'Casual', 'Indie', 'Simulation']",'metacritic'
Yuletide Legends: Who Framed Santa Claus,1174500,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Adventure', 'Casual']",'metacritic'
Bird Simulator,1174550,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements']","['Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Early Access']",'metacritic'
Приключенията на музикалните тонове и техните ноти,1174560,['Single-player'],['Indie'],'metacritic'
"Build 'm up, Shoot 'm down!",1174570,"['Single-player', 'Steam Achievements', 'Full controller support']","['Action', 'Indie']",'metacritic'
Coloring Game: Pixel,1173830,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Casual', 'Indie']",'metacritic'
Zombie Panic In Wonderland DX,1173850,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Remote Play Together']","['Action', 'Adventure', 'Casual', 'Indie']",'metacritic'
Endless Knight,1173870,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Remote Play Together']","['Action', 'Indie']",'metacritic'
Dreams of Ylina,1173910,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']","['Action', 'Adventure', 'Indie', 'RPG']",'metacritic'
Barrage Musical ~ Basic Danmaku Tutorial ~ / 弹幕音乐绘 ~ 基础教学篇 ~,1173940,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']","['Action', 'Indie']",'metacritic'
Debugger 3.16 // Recoded // Despair of the Developer Edition,1173950,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together']","['Action', 'Adventure', 'Free to Play', 'Indie']",'metacritic'
MetaSpace,1173960,"['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']","['Action', 'Indie', 'RPG', 'Strategy']",'metacritic'
Shadow of the Road,1173980,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats']","['RPG', 'Strategy']",'metacritic'
Monsters of Kanji 2,1173990,"['Single-player', 'Partial Controller Support']","['RPG', 'Early Access']",'metacritic'
Uterine Supremacy,1174050,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Full controller support', 'Remote Play Together']","['Action', 'Casual', 'Indie', 'Simulation', 'Sports', 'Early Access']",'metacritic'
Unicorn Tails,1174090,"['Single-player', 'Full controller support']","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",'metacritic'
Hentai Girl Beat,1174100,"['Single-player', 'Steam Achievements']","['Action', 'Adventure', 'Casual', 'Indie']",'metacritic'
Kira's Contract,1173500,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","['Adventure', 'Indie', 'RPG']",'metacritic'
XSOverlay,1173510,'categories',"['Utilities', 'Early Access']",'metacritic'
Zero Friction,1173540,"['Single-player', 'Full controller support', 'Steam Leaderboards']","['Racing', 'Early Access']",'metacritic'
Dominus Galaxia: KS Edition,1173590,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Remote Play Together']","['Free to Play', 'Indie', 'Strategy']",'metacritic'
MouseWars Party,1173610,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer']","['Action', 'Casual']",'metacritic'
Beat Rush,1173630,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Action', 'Casual', 'Indie', 'Racing', 'Strategy', 'Early Access']",'metacritic'
Survivor Jones,1173640,"['Single-player', 'Full controller support']",['Indie'],'metacritic'
SWEET MILF,1173650,['Single-player'],['Adventure'],'metacritic'
Woodle Tree 2: Deluxe+,1173740,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Remote Play Together']","['Action', 'Adventure', 'Indie']",'metacritic'
Infinite Sparkles,1168600,"['Single-player', 'Partial Controller Support']",['Action'],'metacritic'
Natural Instincts,1168610,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Commentary available']","['Casual', 'Indie', 'Simulation', 'Strategy']",'metacritic'
Active Neurons,1168630,"['Single-player', 'Steam Achievements', 'Full controller support']","['Casual', 'Indie', 'Strategy']",'metacritic'
Angry Bunny,1168650,"['Single-player', 'Steam Achievements']","['Adventure', 'Casual', 'Indie', 'Strategy']",'metacritic'
Barro 2020,1168660,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Remote Play Together']","['Casual', 'Indie', 'Racing']",'metacritic'
HELLSEED,1168690,"['Single-player', 'Partial Controller Support']","['Action', 'Adventure', 'Indie', 'Early Access']",'metacritic'
Old School Horror Game : Bright Day,1168740,"['Single-player', 'Steam Achievements']","['Action', 'Adventure', 'Indie', 'Simulation']",'metacritic'
Ground War,1168790,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Leaderboards']","['Simulation', 'Strategy']",'metacritic'
Mulite Sword Man,1168800,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support']","['Action', 'Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",'metacritic'
Myths of the World: The Heart of Desolation Collector's Edition,1168820,['Single-player'],"['Adventure', 'Casual']",'metacritic'
Mystery Case Files: Ravenhearst Unlocked Collector's Edition,1168830,['Single-player'],"['Adventure', 'Casual']",'metacritic'
绿洲计划,1168840,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Adventure', 'Free to Play', 'Strategy']",'metacritic'
Trix and the Horny Tower,1168850,"['Single-player', 'Steam Achievements']",['Casual'],'metacritic'
Mists of Noyah,1168870,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Partial Controller Support']","['Action', 'Indie', 'RPG', 'Early Access']",'metacritic'
MOLEK-SYNTEZ,1168880,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']","['Indie', 'Simulation']",'metacritic'
Crystal core,1168940,"['Single-player', 'Multi-player', 'PvP', 'LAN PvP', 'Steam Achievements']","['Action', 'Adventure', 'Casual', 'Indie']",'metacritic'
BUBBERKNUCKLES,1168210,['Single-player'],"['Action', 'Adventure', 'Casual']",'metacritic'
Shades Of Heroes,1168250,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Stats', 'Steam Turn Notifications']","['Adventure', 'Free to Play', 'Indie', 'RPG', 'Strategy', 'Early Access']",'metacritic'
TD Strategy of Three kingdoms/塔防三国,1168290,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Casual', 'Indie', 'Strategy', 'Early Access']",'metacritic'
Zombie valley,1168320,['Single-player'],"['Action', 'Adventure', 'Indie']",'metacritic'
Detective Solitaire Inspector Magic,1168360,['Single-player'],['Casual'],'metacritic'
Sokpop S05: passenger seat,1168420,"['Single-player', 'Steam Achievements']",['Indie'],'metacritic'
Dairy Princess,1168430,['Single-player'],"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']",'metacritic'
千面 Melancholy Love,1168470,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",'metacritic'
Rauniot,1168490,['Single-player'],"['Adventure', 'Indie']",'metacritic'
Sokpop S04: clutchball,1167710,"['Single-player', 'Steam Achievements']","['Indie', 'Sports']",'metacritic'
A Time Paradox,1167730,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Remote Play Together']",['Indie'],'metacritic'
4islands,1167760,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Cloud']","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Simulation', 'Early Access']",'metacritic'
More dark,1167770,"['Single-player', 'Steam Achievements', 'Full controller support']","['Adventure', 'Indie']",'metacritic'
