name,appid,categories,genres,metacritic
Snake Treasure Chest,721470,"['Single-player', 'Steam Achievements', 'Steam Leaderboards']","['Casual', 'Indie']",'metacritic'
VR Hockey League,721480,"['Single-player', 'Steam Achievements']","['Indie', 'Simulation', 'Sports']",'metacritic'
Renters Revenge,721510,['Single-player'],"['Violent', 'Action']",'metacritic'
Cursed Isles,721540,"['Single-player', 'Partial Controller Support']","['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Early Access']",'metacritic'
Mystic Destinies: Echoes,721550,['Single-player'],"['Action', 'Adventure', 'Casual', 'Indie']",'metacritic'
Newton and the Apple Tree,721010,"['Single-player', 'Steam Cloud']",['RPG'],'metacritic'
La Tale - Evolved,721030,"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'In-App Purchases', 'Partial Controller Support']","['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']",'metacritic'
Bounce Ball,721080,['Single-player'],"['Action', 'Casual', 'Indie']",'metacritic'
SKYBOX VR Video Player,721090,['Partial Controller Support'],['Video Production'],'metacritic'
Halloween: Jigsaw Puzzles,720600,['Single-player'],['Casual'],'metacritic'
TaleSpire,720620,"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Includes level editor']","['Indie', 'RPG', 'Simulation', 'Early Access']",'metacritic'
La Aventura De Axel,720640,['Single-player'],"['Adventure', 'Indie']",'metacritic'
Overloop,720660,"['Single-player', 'Steam Achievements', 'Full controller support']","['Action', 'Adventure', 'Indie']",'metacritic'
Cats Make You Smarter!,720670,"['Single-player', 'Steam Achievements']",['Casual'],'metacritic'
Without Escape,720730,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']","['Adventure', 'Indie']",'metacritic'
Blasteron,720850,"['Single-player', 'Full controller support']","['Action', 'Indie', 'Early Access']",'metacritic'
Horns of Fear,720940,"['Single-player', 'Steam Achievements']","['Adventure', 'Indie']",'metacritic'
EGE DistantPlanet NonXXX,720950,['Single-player'],"['Casual', 'Indie']",'metacritic'
Colony,720060,['Single-player'],"['Indie', 'Simulation', 'Strategy']",'metacritic'
Eared Hero,715980,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Adventure', 'Casual', 'Indie', 'Simulation']",'metacritic'
Maybot Run,715990,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","['Action', 'Casual', 'Indie']",'metacritic'
Space Dragon,716000,['Single-player'],"['Action', 'Indie']",'metacritic'
Inline,716010,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats']","['Casual', 'Indie', 'Strategy']",'metacritic'
Oppaidius Summer Trouble!,716030,['Single-player'],"['Indie', 'Simulation']",'metacritic'
Hide and go boom,716040,"['Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Full controller support', 'Remote Play Together']","['Action', 'Casual', 'Indie', 'Early Access']",'metacritic'
Strike Team Hydra,716050,['Single-player'],"['Violent', 'Gore', 'Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",'metacritic'
Purgatory Ashes | 炼狱灰烬,716060,"['Single-player', 'Steam Achievements', 'Full controller support']","['Violent', 'Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",'metacritic'
Mindsight,716070,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats']","['Casual', 'Indie']",'metacritic'
Cottage Garden,716090,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Turn Notifications', 'Remote Play Together']","['Casual', 'Strategy']",'metacritic'
Bohnanza The Duel,716100,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Turn Notifications', 'Remote Play Together']","['Casual', 'Strategy']",'metacritic'
Rotatorix,716130,"['Single-player', 'Steam Achievements', 'In-App Purchases', 'Stats', 'Steam Leaderboards', 'Includes level editor']","['Casual', 'Indie', 'Racing']",'metacritic'
PALEO museum VR,716140,'categories',"['Design & Illustration', 'Education']",'metacritic'
Nakawak: Expanded Color Edition,716150,"['Single-player', 'Partial Controller Support']","['Action', 'Adventure', 'Indie']",'metacritic'
Animalia - The Quiz Game,716190,"['Single-player', 'Steam Achievements']",['Casual'],'metacritic'
Strata Spaces VR,716220,['Steam Achievements'],"['Animation & Modeling', 'Design & Illustration']",'metacritic'
Galactic Lords,716230,"['Single-player', 'Steam Achievements']","['Action', 'Casual', 'Indie', 'Strategy']",'metacritic'
Pathstow Mystery VR,716240,"['Single-player', 'Steam Achievements']","['Adventure', 'Indie']",'metacritic'
Eight Dragons,716250,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Stats', 'Steam Leaderboards', 'Remote Play Together']","['Action', 'Casual', 'Indie']",'metacritic'
Guns'n'Stories: Preface VR,716260,['Single-player'],"['Action', 'Adventure', 'Free to Play', 'Indie']",'metacritic'
The Endless Journey,715650,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Adventure', 'Casual', 'Indie', 'RPG']",'metacritic'
Follower:Sacrifice,715660,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","['Action', 'Adventure', 'Indie', 'RPG']",'metacritic'
DashPanel,715670,"['In-App Purchases', 'Includes level editor']",['Utilities'],'metacritic'
Knight Vs Giant,715680,"['Single-player', 'Steam Achievements', 'Full controller support']","['Action', 'Indie']",'metacritic'
Putrefaction 2: Rumble in the hometown,715690,"['Single-player', 'Steam Achievements', 'Partial Controller Support']","['Violent', 'Gore', 'Action', 'Indie']",'metacritic'
DOJAGI: The Korean Pottery,715760,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']",['Simulation'],'metacritic'
PooSky,715840,"['Single-player', 'Steam Achievements']","['Casual', 'Indie']",'metacritic'
